@relation tweets

@attribute text string
@attribute ' class' {no,yes}

@data
'Clinic Tatto   gt   ',yes
'¿Y si nos vamos a @AltoBarCcs hoy? ',yes
'@noisettecaracas un discreto y acogedor sitio al más puro estilo parisino  gt  gt  ☕️ ',no
'La comedia de humor negro \'Cita a ciegas\' llegó al teatro Sambil ',no
'#25Sep Exposición “El Bosque Encantado” de Luis Becerra inaugura en el Museo Alejandro Otero gt  gt … ',yes
'Desde el piso 59 de Las Torres de #ParqueCentral   gt   ',no
'A esta hora caería muy bien una meriendita en la heladería de la Nonna #Chacao  gt ',no
'A esta hora caería muy bien una meriendita en la heladería de la Nonna #Chacao  gt ',no
'!Disfruta de un buen almuerzo o cena en @FocacciaVE¡  ',yes
'@noisettecaracas un discreto y acogedor sitio al más puro estilo parisino  gt  gt  ☕️ ',yes
'En @MontaitosTapas podrás disfrutar de una deliciosa tarde   gt   ',no
'Museo de la Estampa y del Diseño Carlos Cruz Diez ¡Visítalo!  ',yes
'Cuentos de familias con Joe  Historias con abuelos, padres y madres aventureros  Este #Sab24 en @trinidadcultura ',yes
'La @afvenezuela te trae la #FiestadelaGastronomía, esta es la programación   gt   ',no
'No te puedes perder la @expogastronomia en la #PlazaSadel ¡Delicioso! ',no
'¡A tomarse un respiro, el #sábado llegó!',no
'Este #30Sep @bandabner estrena “Alma Llanera Rockera” en @teatrex  gt  gt  ',no
'¿Vas pendiente con un inicio de fin de semana en #Chefwoo?🍻🍻 Una opción súper económica  gt  gt  🍻🍻 ',no
'Si quieres ver una banda en vivo, puedes acudir de martes a sábado al @DiscoveryBar detrás del Centro Lido  gt ',no
'En el corazón de Trasnocho Cultural, abierto de par en par, se encuentra Soma Café  gt  gt ',no
'@cafecongusto ofrece  DJ`s en vivo los días jueves, viernes y sábados a partir de las 4 00 pm  gt  gt ',no
'Este es el único bar que utiliza sus paredes como ventana de exhibición de obras de arte  gt  gt  ',no
'Pendiente con “Crónica de un Polvo” en el Ateneo de Caracas  gt  gt  ',no
'Cita a ciegas”, comedia de humor negro, llega al teatro Sambil🎭🎭  ',no
'Desde el #22sep al #25sep podrás disfrutar de la#XIedición de @ExpoGastronomia en la#PlazaSadel ',yes
'Hoy #23Sep a las 7 00 pm en @losgalpones #CineACieloAbierto ',no
'¿Atraído fusiones exóticas? Pendiente con la comida peruana y mexicana en Restaurant Inca Azteca en CC Macaracuay  gt ',yes
'¿Atraído fusiones exóticas? Pendiente con la comida peruana y mexicana en Restaurant Inca Azteca en CC Macaracuay  gt ',no
'El #Tizón cuenta con una fusión de comida mexicana y peruana ofrecen platos peruanos como el Ceviche  gt  gt ',no
'Conoce a @ClinicTattoo esta pequeña tienda en @csiexclusivo tiene una larga trayectoria y reconocimientos en el arte ',yes
'Este #30Sep @bandabner estrena “Alma Llanera Rockera” en @TEATREX   gt  gt ',no
'26 artistas sonarán durante los 3 días de El Hatillo Jazz Festival 🎺🎺  gt  gt ',yes
'¡Por fín llegó el viernes! ¡Consulta con nosotros para que vivas un fin de semana excelente!💃💃',no
'Este 15 de octubre la fiesta de la cerveza toma Las Mercedes  ¡No te la puedes perder!#OktoberfestLM 🍻🍻🍻… ',no
'#23Sep @Pepperland abrirá el #HatilloJazzFestival 🎤🎤  gt  gt  ',no
?,yes
'Las puertas de Hacienda La Vega estarán abiertas para la 9na  Muestra de Cine Latinoamericano 2016 de  Cinejardin    ',no
'Desde el #30Sep hasta el #21OCT  Taller de Periodismo musical dictado por William Padrón y Humberto Sánchez Amaya  gt … ',no
'Desde el #30Sep hasta el #21OCT  Taller de Periodismo musical por @williampadron @HumbertoSanchez   gt  gt … ',no
'El Centro #LaEstancia encierra una arquitectura que conjuga la imagen de un hacienda cafetalera del siglo XVIII',yes
'#25Sep Exposición “El Bosque Encantado” de Luis Becerra inaugura en el Museo Alejandro Otero gt  gt … ',yes
'Pendiente con “Crónica de un Polvo” en el @ateneodecaracas   gt  gt  ',no
'Hoy #22Sep #HumorEnLaPlaza con @RubenMorales como anfitrión @culturachacao ',yes
'🍕En @sohopizzas vas a disfrutar 16 estilos de pizzas, la especialidad de la casa es la pizza \'Soho”  gt  gt ',no
'Ese detalle único que buscas, está en @QuincallaZoco👝👝   gt  gt  ',no
'Desde el #22sep al #25sep podrás disfrutar de la#XIedición de @ExpoGastronomia en la#PlazaSadel ',no
'¿Sin planes para hoy? En Tríptico Restaurant disfrutarás de una experiencia gastronómica memorable  gt  ',no
'¿Sin planes para hoy? En Tríptico Restaurant disfrutarás de una experiencia gastronómica memorable  gt  ',no
'Tomarte un respiro, hacer ejercicio y disfrutar con los chamos será facíl en esta plaza de la ciudad  gt  gt … ',no
'#Baruta Contempla la obra de Rachel Alvarez Villasmil, Eduardo Agelvis y otros artistas más en #GaleríaArt3  gt ',no
'El centro de #Caracas tiene mucho que contar ¡Vamos, anímate!  gt  gt   ',no
'¡Arrancamos este jueves con todo! #FelizJueves',yes
'Mañana #22Sep #HumorEnLaPalza con @RubenMorales como anfitrión @culturachacao ',yes
'Desde el #22sep al #25sep podrás disfrutar de la #XIedición de @ExpoGastronomia en la #PlazaSadel ',yes
'#Fotografía @donaldobarros ',no
'Teatro Nacional de Caracas Fue diseñado por Alejandro Chataing en 1905  gt  gt  ',yes
'@rosi_vivas de 12 a 11 pm  )',yes
'@oceanico_rest resulta una de las mejores opciones para adentrarse en las delicias de la comida del mar  gt  gt … ',yes
'En @mokambocafe te ofrecen Salpicón de mariscos y Lomo de Carite fresco  gt  ',yes
'@rosi_vivas Las entradas tendrán un valor de 3500Bs',yes
'Taller de Periodismo musical dictado por William Padrón y Humberto Sánchez Amaya  ',yes
'La cultura alemana llega este #15OCT con bailes y música típica en vivo desde la Plaza Alfredo Sadel  ',yes
'En @montaitostapas podrás disfrutar de una deliciosa tarde  gt  gt  ',yes
'En el mejor jardín del Centro Caraqueño puedes encontrar Casa Veroes  gt  gt  ',yes
'@oceanico_rest resulta una de las mejores opciones para adentrarse en las delicias de la comida del mar   gt  gt ',no
'En #lacuadragastronómica encontrarás @TeconteVzlacon hamburguesas y ensaladas de película  gt  gt ',no
'Disfruta de la galería de fotos de #VillaZoila en #ElParaiso  gt  gt   ',yes
'Disfruta de la galería de fotos de #VillaZoila en #ElParaiso  gt  gt   ',no
'Desde el #22sep al #25sep podrás disfrutar de la #XIedición de @ExpoGastronomia en la #PlazaSadel ',no
'Estamos a dos días  del fin de semana ✌️',yes
'#22Sep El @ateneodecaracas promueve Ruta Cultural en la ciudad capital  gt  gt  ',yes
'# Fotografía de Flavia Rainone ¿Cómo se llamará este mural? ¿Tendrá Nombre? ',yes
'Si quieres perderte entre libros 📚 visita @LibreriaLC ahora también en Las Mercedes ',yes
'Disfruta de un delicioso #brunch como este en @MingoRestaurant  gt  gt  ',yes
'@friasgustavo11 ¡Totalmente de acuerdo! 🌿',no
'@noisettecaracas un discreto y acogedor sitio al más puro estilo parisino  gt  gt  ☕️ ',yes
'@intuitcion #PlazaLosPalosGrandes 3era  avenida, entre 2da  y 3era  transversal   D',no
'@Ssinusername En el Centro Comercial Paseo Las Mercedes, PB    D',no
'¡Qué Caracas aquella, la de mis tiempos! #HistoriasChicas  gt  gt  ',no
'#Fotografía de Flavia Rainone #ExperienciaPantone ',no
'‘Caracas Vinil 1ra  Edicion’ será un punto de encuentro para los amantes de los vinilos  gt  gt  ',yes
'Servicio, comida y ambiente, estos son los tres aspectos fundamentales de @UnosGorditosAhi 🍔 ¡Toda una experiencia… ',no
'El sabor de la comida criolla se prepara con el modernismo y sofisticación de El Asador  gt  gt  ',yes
'Si quieres perderte entre libros 📚 visita @LibreriaLC ahora también en Las Mercedes ',yes
'¿Y si visitamos el Museo de Arte Contemporáneo?   gt  gt  ',yes
'#25Sep Sal de la rutina y asiste a la proyección de Edifico Royal @CineJardin',no
'En cualquier parte de Caracas verás al majestuoso Ávila  Feliz día ',no
'En cualquier parte de Caracas verás al majestuoso Ávila  Feliz día ',no
'#22Sep El @ateneodecaracas promueve Ruta Cultural en la ciudad capital  gt  gt  ',no
'La #Ludoteca de #LosPalosGrandes, un espacio infantil permite el acercamiento de los niños a la lectura ¿Ya la conoces?',yes
'¿Qué tal unas hamburguesa en @Avila_Burger para terminar el día?',yes
'@PinchoPan  se caracteriza por sus ricas Shawarmas con una inigualable salsa de ajo  ',yes
'@cafebonappetit un rincón donde podrás saborear postres, bebidas y platos de comida rápida 🍹 gt  ',no
'@FragolateHelado ¡Suena súper interesante!',yes
'Taller de Periodismo musical dictado por William Padrón y Humberto Sánchez Amaya  ',yes
'Las artesanales dicen presente en la #RutadelaCerveza  Este #15OCT deléitate con sus sabores originales  ',no
'En @sohopizzas puedes disfrutar 16 estilos de pizzas, entre ellas la pizza \'Soho”  gt  gt  ',no
'¿Buscando un almuerzo resuelto? ¡No pienses más! La calle del hambre en #Baruta tiene las hamburguesas más grandes ',yes
'En #lacuadragastronómica encontrarás @tecontevzla con hamburguesas y ensaladas de película  gt  ',no
'¡Saludos @danilu_rm! En este link encontrarás más información del evento  gt  gt ',yes
'@PinchoPan se caracteriza por sus ricas Shawarmas con una inigualable salsa de ajo  ',yes
'#Chacao Arepera \'El estribo\' tiene diferentes ambientes super deportivos y está disponible las 24 horas del día  gt ',yes
'La #Ludoteca de #LosPalosGrandes, un espacio infantil permite el acercamiento de los niños a la lectura ¿Ya la conoces?',yes
'#22Sep El @ateneodecaracas promueve Ruta Cultural en la ciudad capital  gt  gt ',no
'¡Feliz inicio de semana!',yes
'¿Y a ustedes les pasa? ',yes
'Un café con un toque exótico, sí en @caffepiu encuentras el Spiu Expreso que es café con ralladura de limón ☕️☕️  gt  gt ',no
'Un café con un toque exótico, sí en @caffepiu encuentras el Spiu Expreso que es café con ralladura de limón ☕️☕️  gt  gt ',no
'La Torta Selva Negra es una de sus especialidades para el postre de @mokambocafe  gt  ',no
'Podrás disfrutar de la Ruta de la Cerveza y la Ruta Gastronómica  #OktoberFestLM #15OCT ',no
'Das pastelhouse en #ElHatillo es la única pizzería que también te ofrece exquisitos dulce de nutella  gt  gt ',yes
'#ElHatillo @BlueMoonChoco tiene más de 6 años ofreciendo arte con sabor a chocolate 🍫🍫🍫  gt  gt ',no
'Consígue ese #MantecadoOreo que buscas en #HeladeríaGonzos en @Uni_El_Marques #Nivel2 ',yes
'Ya falta poco para disfrutar de La Primera Edición del Oktoberfest Las Mercedes  gt  gt  ',yes
'¿Aún sin almuerzo? En #ArtePan en #ElParaíso te resuelves rapidito  gt  gt ',yes
'Abiertas inscripciones para el Taller de Periodismo Musical con @WilliamsPadron @williampadron @HumbertoSanchez  gt  gt ',no
'#Galipán Aventurate en este pequeño poblado, al norte del Parque Nacional Ávila   gt  gt  ',no
'#Hoy #18Sept @CCulturalBOD recibe a a Corina Peña a las 11 30 de la mañana🎤 gt ',yes
'Un paseíto en Parque Zoológico El Pinar sería un excelente plan para el #domingo  gt  gt  ',yes
'El Sabor que nos une este #15OCT  #OktoberFestLM somos todos  ¡SALUD! 🍻🍻 ',yes
'El Sabor que nos une este #15OCT  #OktoberFestLM somos todos  ¡SALUD! 󾦇󾦇 ',yes
'#LibérateDelEstrés en #AmoresDeBarra #ÉsteJue15, #Vie16 y #Sáb17Sep en @TICKETMUNDO',no
'#Oct ‘Caracas Vinil 1ra  Edicion’ sera un punto de encuentro para los amantes de los vinilos  ',yes
'La comedia de humor negro \'Cita a ciegas” llegó al teatro Sambil  gt  gt  ',no
'Abiertas inscripciones para el Taller de Periodismo Musical con @WilliamsPadron @williampadron @HumbertoSanchez  gt  gt ',no
'La Primera Edición del @OktoberfestLM se realizará el próximo 15 de octubre en la plaza Alfredo Sadel  gt  gt ',no
'¡ATENCIÓN! #Hoy regresa la venta casual de garaje para celebrar su 6ta edición el #17S  gt  gt  ',yes
'¡ATENCIÓN! #Hoy regresa la venta casual de garaje para celebrar su 6ta edición el #17S  gt  gt  ',no
'#Hoy #17Sep se estrena en el Ateneo de Caracas, “Crónica de un polvo”, escrita por Patricia Ramírez 🎭🎭 gt  gt ',no
'#Sábado #17Sep Noche de 80  amp  90 con @DjBola  en @trasnochocult ',no
'El Museo de Bellas Artes es la primera institución creada en Venezuela dirigida a la exhibición de artes visuales  gt ',yes
'Una programación de 3 días y 26 artistas nacionales e internacionales serán el plato fuerte de este evento  gt  gt  ',no
'@Graphicarte exhibe arte cinética en su mayoría, siguiendo siempre la línea constructivista y geométrica  gt  gt ',yes
'¡Es un excelente día para descubrir Caracas! ¡Hazlo con nosotros! #ConsultaLaGuíadeCaracas gt  gt  ',yes
'¿Con ganas de una noche diferente? @DawsLounge ofrece diversión al mejor estilo americano  gt  ',yes
'@Montaitostapasbar te ofrece también Ensalada caprese, Hamburguesas, Piruletas de pollo y Papas especiadas  gt ',no
'Síguenos por nuestras redes como @OktoberfestLM y @laguiadecaracas ¡Actívate con el #OktoberfestLM ',yes
'Hasta el 18 de Septiembre en La Caja de Fósforos disfrutarás de \'Agua a Cucharadas\'  gt  gt  ',yes
'Esta temporada estará en cartelera hasta el #2OCT con funciones sábados y domingos a las 3pm gt  p ',yes
'En @greenwichpubccs  se vive el rock retro en Caracas  gt  gt  ',no
'Este es el único bar que utiliza sus paredes como ventana de exhibición de obras de arte 🍺🍺  gt  gt ',yes
'Una programación de 3 días y 26 artistas nacionales e internacionales serán el plato fuerte de este evento ',no
'En Dalai Restaurant amp  Lounge puedes encontrar más de 40 tipos de roles de Sushi  gt  gt    #ComidaJaponesa @csiexclusivo',yes
'@ateneodecaracas promueve Ruta Cultural en la ciudad capital #22Sept  gt  gt  ',no
'@PinchoPan se caracteriza por sus ricas Shawarmas acompañadas de una inigualable salsa de ajo#LosPalosGrandes  gt  gt  ',yes
'¡Pendiente con la #VentaCasualdeGarage este #17Sept! #PanaderíaPanAlemán #LasMercedes ',no
'RT @rioteatrocaribe  #BuenViernes #HOY #MeAndMrClapton con @ManuelGuinand desde las 9 30pm Cover  350bs #RockBlues ',yes
'RT @rioteatrocaribe  #BuenViernes #HOY #MeAndMrClapton con @ManuelGuinand desde las 9 30pm Cover  350bs #RockBlues ',yes
'#LibérateDelEstrés en #AmoresDeBarra #ÉsteJue15, #Vie16 y #Sáb17Sep en @TICKETMUNDO ',yes
'@cafebonappetit un rincón donde podrás saborear postres, bebidas y platos de comida rápida 🍹 gt  ',no
'Se viene la 1era edición del Oktoberfest Las Mercedes  ¿Te vas a perder el evento del año? ',no
'¡Pendiente con #ArteVivo todos los viernes con @DjMelchor1 en @hardrockccs ! ',no
'Hasta las 7pm y en #Altamira Galería Arte Express apoya el talento nacional al 100\%  gt  gt ',yes
'¡Pendiente! Este 17 de Septiembre será una noche española con @sigmaflamenco en @MontaitosTapas  gt  gt  ',yes
'#Viernes #16Sep Noche de Deep Music con @djremmy en @LoungeTrasnocho ',yes
'¡Es la hora del té! 🍵En @amapola_rest disfrutas de una serie de infusiones en su \'Carta Blend\' gt  gt ',no
'¡Pendiente con #ArteVivo todos los viernes con  @DjMelchor1 en @hardrockccs ! ',yes
'Se viene la 1era edición del Oktoberfest Las Mercedes  ¿Te vas a perder el evento del año? ',yes
'#LibérateDelEstrés en #AmoresDeBarra #ÉsteJue15, #Vie16 y #Sáb17Sep en @TICKETMUNDO ',yes
'Te recomendamos la crema de berenjenas\'Baba Ghannouj\' y la de garbanzos se \'Hummus\' en @libanesal  gt  gt   #ComidaLibanesa',yes
'El #17Sep se estrenará en el Ateneo de Caracas, “Crónica de un polvo”, escrita por Patricia Ramírez  gt  gt ',no
'RT @ElMolinoCcs   Este #sab17sep será #LaFiestaDelRon, ¡Activa tus sentidos! ',yes
'RT @VilmaSol  ',yes
'La Primera Edición del @OktoberfestLM  se realizará el próximo 15 de octubre en la plaza Alfredo Sadel  gt  gt ',yes
'Abiertas inscripciones para el Taller de Periodismo Musical con @WilliamsPadron @williampadron @HumbertoSanchez  gt  gt ',yes
'El Centro Cultural BOD recibe a Corina Peña este 18 de septiembre, a las 11 30AM  gt  gt  ',yes
'#14Sept LIGA DE STAND UP COMEDY VZLA @Dj_Annaya   gt  gt ',yes
'#14Sept LIGA DE STAND UP COMEDY VZLA @Dj_Annaya   gt  gt ',yes
'Abiertas inscripciones para el Taller de Periodismo Musical con @WilliamsPadron @williampadron @HumbertoSanchez  gt  gt ',no
'@waoocrepebar es uno de los mejores lugar de Crepes donde podrás disfrutar de delicias como el Crepe de Nutella  gt  gt ',yes
'Ya probaste el Naomi roll de @NobuCupulas? Tiene un delicioso topping de naranja y langostinos #Chacao  gt ',no
'Síguenos por nuestras redes como @OktoberfestLM y @laguiadecaracas ¡Actívate con el #OktoberfestLM ',yes
'@PinchoPan se caracteriza por sus ricas Shawarmas acompañadas de una inigualable salsa de ajo#LosPalosGrandes  gt  gt  ',no
'Puedes comerte un delicioso pabellón en #LaCocinadeFrancy 9 am a 6 pm de lunes a sábado   gt  gt  gt  gt  #LaCandelaria',no
'En @sohopizzas vas a disfrutar 16 estilos de pizzas, la especialidad de la casa es la pizza \'Soho”  gt  gt ',no
'Tríptico Restaurant  ofrece 3 versiones de una misma comida en un solo plato  gt ',no
'#LibérateDelEstrés en #AmoresDeBarra #ÉsteJue15, #Vie16 y #Sáb17Sep en @TICKETMUNDO ',no
'Adquiere tus entradas para la temporada estreno de Piaf  voz y delirio, espectáculo musical en el Teatro de Chacao  gt ',no
'Disfruta de un delicioso #brunch como este en @MingoRestaurant  gt  gt  ',no
'¡ATENCIÓN! regresa la venta casual de garaje para celebrar su 6ta edición el próximo sábado 17 de septiembre  gt  gt ',no
'Hasta las 7pm y en #Altamira Galería Arte Express apoya el talento nacional al 100\%  gt  gt ',yes
'#LibérateDelEstrés en #AmoresDeBarra #ÉsteJue15, #Vie16 y #Sáb17Sep en @TICKETMUNDO ',no
'En el #DíaInternacionaldelChocolate te recomedamos los diferentes sabores de chocolate en @madameblac  #LasMercedes  gt ',yes
'@CCulturalBOD recibe este 18 de septiembre, a las 11 30 de la mañana a Corina Peña 🎤 gt  ',yes
'¡ATENCIÓN! regresa la venta casual de garaje para celebrar su 6ta edición el próximo sábado 17 de septiembre  gt  gt ',no
'En el #DíaInternacionaldelChocolate la guía recomienda los deliciosos chocolates de @noisettecaracas en #LaCarlota  gt  gt ',yes
'🍺🍺Se viene la 1era edición del Oktoberfest Las Mercedes  ¿Te vas a perder el evento del año? ',yes
'🍺🍺Se viene la 1era edición del Oktoberfest Las Mercedes  ¿Te vas a perder el evento del año? ',yes
'Cada 13 de Septiembre se celebra el Día Internacional del Chocolate🍫🍫  ',no
'En @mokambocafe te ofrecen Salpicón de mariscos y Lomo de Carite fresco  gt  ',no
'Abiertas  inscripciones para el Taller de Periodismo Musical con @williamspadron @williampadron @HumbertoSanchez  gt  gt ',yes
'La comedia de humor negro \'Cita a ciegas\' llegó al teatro Sambil ',yes
'En el #DíaInternacionaldelChocolate ¡Cuéntanos! ¿Cuáles son tus lugares favoritos para degustarlos? ',no
'Aventúrate con una  empanada gallega o una empanada chilena en Rosmar Café #Chacao  gt ',no
'En #IlCaminetto de @Chacao probarás Pasticho,Conejo, Cabrito, Pizza y el Risotto  gt  gt ',no
'Disfruta de una vista espectacular y de unos Granjeros Dobles de #PolloCrispy en @AmarilloBurger  gt  gt  ',yes
'Bacon Cheddar con tocineta crujiente de @UnosGorditosAhi  gt ',no
'Este 15 de octubre la fiesta de la cerveza toma Las Mercedes  ¡No te la puedes perder!#OktoberfestLM @OktoberfestLM ',no
'Adquiere tus entradas para la temporada estreno de Piaf  voz y delirio, espectáculo musical en el Teatro de Chacao  gt ',yes
'La última semana de Octubre será la fecha pautada para el Festival Baruta de Películ #Actívate ',no
'En Dalai Restaurant amp  Lounge puedes encontrar más de 40 tipos de roles de Sushi  gt  gt    #ComidaJaponesa @csiexclusivo',yes
'Restaurant Sabas Nieves, ideal para veggies #Caracas|Trabajan de lunes a sábado  Almuerzos  12 pm a 3 pm gt  gt ',no
'¿Buscando un almuerzo resuelto? ¡No pienses más! La calle del hambre en #Chacao tiene las hamburguesas mas grandes ',no
'Un lunes se resuelve con un Ceviche bien chévere gt  gt  @ElTizon_Rest lo tiene para tí ',no
'Entre la 3era Av y 4ta transversal de Los Palos Grandes puedes encontrar el sabor oriental de Sushi Market  gt ',yes
'En @iepan los especialistas te enseñan cómo preparar todo tipo de pan  golfeados  gt  gt  ',no
'Para desayunar en @TeconteVzla encuentras jugos naturales con propiedades diuréticas o las  panquecas fit de avena  gt ',yes
'Para desayunar en @TeconteVzla encuentras jugos naturales con propiedades diuréticas o las  panquecas fit de avena  gt ',no
'¡Ponte fitness con los #smoothies de #RestaurantPapaya!  gt  gt   #Libertador ',no
'Pendiente con la ensalada de manzana de Café Olé, hecha con un mix de lechuga con queso roquefort y miel mostaza  gt  gt ',no
'Disfruta de una pedacito de #Francia en plena #Caracas solo en @ComaCusine  gt  gt ',yes
?,yes
'#ElHatillo @BlueMoonChoco tiene más de 6 años ofreciendo arte con sabor a chocolate  gt  gt ',no
'En una pequeña casita, al lado de Frühling Kaffe encontrarás el Vívero La Colonia Tovar  gt  gt    #Domingo',no
'Hasta el 16 #Sept están abiertas las inscripciones para el 3er  Festival de Jóvenes Directores @trasnochocult  gt ',yes
'#Rumba ¡Pendiente este #sáb17Sep con #LaFiestaDelRon en @ElMolinoCcs ! ',yes
'Das pastelhouse en #ElHatillo es la única pizzería que también te ofrece exquisitos dulce de nutella  gt  gt ',yes
'De martes a domingo de 8a m  hasta las 5 p m, puedes disfrutar de la naturaleza en el jardin Botánico de la UCV  gt  gt ',no
'Hasta el 11 de septiembre \'Niños Lindos\' y \'El Diario de un Loco\' tendrán sus funciones finales en @trasnochocult',no
'Caperucita \'El Musical\'|Sábados y Domingos a las 3 00pm|Sambil @mharesproducciones @markanoteatro ¡Asiste!  gt  gt ',no
'¿Sabías que la Plaza Baden Powell en Chacao debe su nombre a un fundador del movimiento #scout a nivel mundial?  gt  gt  gt ',yes
'Si eres un runner este es un lugar ideal para tí  gt  gt ',yes
'Cierra la semana con actividad física, La Recta de las Minas en #SanAntonio es una opción para caminar  gt ',yes
'Abierta desde ya, hasta las 7pm y en #Altamira Galería Arte Express apoya el talento nacional al 100\%  gt  gt ',yes
'@Graphicarte exhibe arte cinética en su mayoría, siguiendo siempre la línea constructivista y geométrica  gt  gt ',no
'Inicia preventa de boletos del musical de Edith Piaf con @MariacaSemprun @PiafElMusical ¡Más info aquí!  gt  gt ',no
'Resuelve tu desayuno con unas cachapitas de La Cachapera Inés e hijos  gt  gt  #Baruta',yes
'Resuelve tu desayuno con unas cachapitas de La Cachapera Inés e hijos  gt  gt  #Baruta',yes
'Para desayunar en @TeconteVzla  encuentras jugos naturales con propiedades diuréticas,una avena con leche   gt  gt ',no
'Nunca es demasiado tarde para una reina pepiada de @arepafactory en Chacao  gt  gt  ',yes
'Hasta ell 11 de septiembre \'Niños Lindos\' y \'El Diario de un Loco\' tendrán sus funciones finales en @trasnochocult',yes
'Inicia preventa de boletos del musical de Edith Piaf con @MariacaSemprun  @PiafElMusical  ¡Más info aquí!  gt  gt ',yes
'Entre la 3era Av y 4ta transversal de Los Palos Grandes puedes encontrar el sabor oriental de Sushi Market  gt  gt ',no
'#Rumba ¡Pendiente este #sáb17Sep con #LaFiestaDelRon en @ElMolinoCcs !  ',no
'Hoy es un buen día para visitar el Museo de Ciencia en #BellasArtes  gt  gt    #SábadoActivo ',yes
'Porque no importa si es en el desayuno, en el almuerzo o en la cena, una arepa siempre es bien recibida ',yes
'La Guía de Caracas celebra el Día Mundial de la Arepa ¡Consulta con nosotros las mejores arepas de Caracas! ',no
'En Caracas, Wok and Roll de #LosPalosGrandesha marcado la pauta en la venta de comida Thai gt  ',yes
'El mejor #FuYong de Caracas, está en el Bar Restaurant Lai Cen #Chacao #LosPalosGrandes  gt  ',yes
'Disfruta de Langostinos al natural, cebiche oceanico y chupetas de cangrejo en @oceanico_rest   gt ',no
'Los locales de Las Mercedes siguen la rumba en la#AfterPartyOktober este #15Oct #OktoberfestLM  @OktoberfestLM ',yes
'Caperucita \'El Musical\'|Sábados y Domingos a las 3 00pm|Sambil @mharesproducciones @markanoteatro ¡Asiste!  gt  gt ',no
'En @ElHatillo #ComeBien tiene según muchos de sus visitantes las Mejore empanadas de la zona  gt  gt ',yes
'¡Pendiente con Burras y Pollinos de #ElPedregal! Este #10Sep con @alSondelViento ',no
'#Rumba ¡Pendiente este #sáb17Sep con #LaFiestaDelRon en @ElMolinoCcs!',yes
'Este 15 de octubre la fiesta de la cerveza toma Las Mercedes  ¡No te la puedes perder!#OktoberfestLM ',no
'En @SomaCafe1 Café tienes un espacio para el disfrute del buen comer  gt ',yes
'En @SomaCafe1 Café tienes un espacio para el disfrute del buen comer  gt ',yes
'¡Pendiente con Burras y Pollinos de #ElPedregal! Este #10Sep  gt  gt  ',yes
'@cafecongusto ofrece  DJ`s en vivo los días jueves, viernes y sábados a partir de las 4 00 pm  gt  gt ',yes
'¿Sin planes para hoy? @BarChacao es un bar lounge ideal para relajarte  gt  gt ',no
'¡Actívate para este #Viernes con @ElTeatroBar #Baruta  gt  gt ',no
