@relation tweets

@attribute text string
@attribute ' class' {no,yes}

@data
'Este fin de semana  cadáveres fueron ingresados a la morgue de Bello Monte en Caracas',yes
'La mejor semana para ti  Creo q son necesarios los errores para aprender de ellos y entender que somos vulnerables  Gracias Dios por la vida',yes
'  saliendo de un compromiso laboral que me tendrá inactiva por esta vía unos días  Todos los años es así por esta fecha ',no
'RT    Yonier necesita de nuestra ayuda para adquirir su prótesis ocular  Ningún aporte es pequeño  #JuntosSumamos #FunDani  …',no
'  Luna amén gracias ',no
'  ay gracias  Lindo fin de semana ',no
'   feliz tarde altagraciaanzola  com',yes
'Confío en ti Señor y me levanto a luchar por lograr tu propósito para mi vida  Renueva mis fuerzas y concede ser humilde en las victorias ',no
'Confío en ti Señor y me levanto a luchar por lograr tu propósito para mi vida  Renueva mis fuerzas y concede ser humilde en las victorias ',yes
'Creo que hasta en el último instante Dios puede cambiar el rumbo de las circunstancias y si así fuera  no dudes que nunca llegaras al fondo',yes
'  graciaas',no
'  nancy   sagrado gracias ',no
'    gracias ',no
' Los policías alegaron q el funcionario disparó hacia el caucho de la moto  pero lo hirió accidentalmente en un mal uso del arma orgánica',yes
'  Al parecer seguía vivo cuando lo arrojaron pero como estaba herido falleció  La moto fue lanzada al mar y ayer la rescataron en La Zorra ',no
'  Los detenidos llevaron a las comisiones hasta un barranco en Oricao  donde lanzaron al muchacho a una altura de  metros ',no
' El motorizado estaba desaparecido  pero gracias a la denuncia de familiares y testigos  el Cicpc logró identificar a los responsables ',no
' Cuando cayó a consecuencia de haber recibido un tiro en la espalda  los funcionarios lo levantaron para auxiliarlo y se lo llevaron ',yes
'  El barbero aprovechó q pasaba una camioneta particular y se metió a un lado para saltar el punto de control  Un policía caminó y disparó ',no
'  Al final del paseo La Marina  los policías le dieron la voz de alto para verificar sus documentos pero el motorizado siguió de largo ',no
'  El domingo al amanecer  tomó su moto para marcharse a su casa en La Esperanza  vía Carayaca  pero en la vía se encontró una alcabala ',yes
'  Johan González era barbero  cumplió años el jueves pasado y decidió celebrar el sábado en el Circulo Militar de Mamo  dijo su familia ',no
' Tres polivargas están detenidos por la muerte de Johan José González     barbero que no se detuvo en un punto de control este domingo ',yes
'  gracias ',no
' Su familia presume que se lo llevaron secuestrado desde Vargas con la intención de robarlo  pero Osma se resistió y por eso fue torturado ',no
'  El joven tenía quemaduras y algunas piezas dentales fracturados  Su carro y otras pertenencias no aparecieron ',no
' El cuerpo del transportista apareció en Pablo VI con múltiples disparos en rostro  además de fractura de cráneo y de un dedo de la mano ',no
' Ese día desapareció con el carro  Su familia inició la búsqueda que finalizo ayer cuando los llamaron de la morgue de Bello Monte ',yes
' Ese día desapareció con el carro  Su familia inició la búsqueda que finalizo ayer cuando los llamaron de la morgue de Bello Monte ',no
' El domingo llevó a su esposa a su trabajo en el Seniat de Maiquetía en su carro Toyota Corolla y quedó en regresar por ella en la noche ',no
'  Osma era socio de la Unión de Conductores Malavé Villalba que presta servicio en la ruta Caracas La Guaira ',no
'  El cadáver del transportista Jimmy Alejandro Osma    desaparecido en Vargas  fue hallado el domingo  pm en Pablo VI ',no
'  le escribí  pero no me salen los DM',yes
'  me puede dar un correo o numero de contacto     Mil gracias ',no
'  cómo se llama la farmacia  Muchas gracias ',no
'Buen día  Busco para mi tía Longacef o Cedax de mg  Quien sepa donde se consigue  le agradezco desde ya  Bendiciones ',no
'  amén ',no
'RT    FAVOR QUIEN PUEDA AYUDAR CON ESTO SE LO AGRADECEMOS    RT  para ayudar a conseguirlo  Gracias    ',yes
'La granada que quedó en el interior de la quinta Rocío  en Santa Eduvigis Dos delincuentes muertos en enfrentamiento ',no
'En la quinta los sujetos sometieron a una señora de  años  La mujer vivía sola  Esta fuera de peligro  Fue sometida junto a su empleada',yes
'Los delincuentes sometieron a la doméstica cuando llegaba a las am y la obligaron a ingresar ',yes
'#AlMomento Dos delincuentes murieron en enfrentamiento con   en una quinta de Santa Eduvigis  Una granada en el lugar',yes
'  Feliz día amigo ',no
'Te deseo la mejor semana  No te rindas ni en medio de las peores circunstancias  porque el éxito lo construyes tú  en nombre de Dios  Amén',no
'  gracias  Estoy realmente agotada ',no
'Nada hay imposible para ti Señor  Aunque todo parezca venirse abajo  eres mi refugio y en ti he puesto mi confianza ',no
'  amén ',no
'  ya voy con eso ',no
'  ya voy con eso ',no
'  Lo encontraron sentado y uniformado en el lugar donde cumplía rol de guardia aprox a las  pm de ayer  Fue sorprendido por antisociales',no
'  Le robaron un fusil Ak  con dos    cargadores y su teléfono celular  Tenia disparos  además de heridas cortantes en rostro y cráneo ',yes
' El cadete de la GNB  Raúl Ramón Estevez Rodríguez  fue hallado muerto ayer en la Academia Militar de Oficiales de Tropa  en Charallave ',yes
'Pongo a ti pies Jesús mis temores  mis tristezas  mis sueños de cada día  Pongo a tus pies mi vida  úsala como quieras  cuando quieras ',no
'Te entrego Señor este día y sus circunstancias  Danos la gracia de amar incondicionalmente  sin egoísmo y sin soberbia ',yes
' La adolescente y otras personas resultaron heridas de bala  pero ella falleció  Ocurrió  am de ayer ',yes
' Al sector ingresó una comisión de la GNB desde la parte alta  Sujetos armados en la reunión efectuaron disparos y hubo cruce de fuego ',yes
'  Moreno estaba con una prima y varios amigos  al final de la calle Los Alpes donde había una fiesta ',no
' Daleima Betzabeth Moreno Hernández    murió atrapada en líena de fuego  al salir de una fiesta en la calle Los Alpes  en El Cementerio ',yes
'Tienes solo una vida  corta para los que desean vivir y larga para los que no tienen esperanzas  Tómala más en serio ',no
'  Ella se casó en Cuba con un venezolano y se vinieron al país en los   con  hijos  Aquí nacieron otros dos  Le han matados  de los  ',no
' Hoy su madre pedía ayuda para poder retirar el cuerpo  porque su hijo no tenía documentos  ni cubanos ni venezolanos ',yes
' El miércoles regresó para afeitarse y saliendo de la barbería  lo sometieron entre varios  Le dieron cuchilladas  golpes y murió ',yes
'  Fue golpeado y lo cortaron en un brazo con un cuchillo  Fue a un hospital donde le suturaron la herida ',yes
' Galarraga vendía artefactos usados en la avenida  El martes otro buhonero le pisó una batería de celular y este le reclamó ',no
' Leonardo Gallaraga  Sierra     cubano y buhonero  fue asesinado a cuchilladas en la Av Baralt  cerca de Qta Crespo ',yes
'  El joven regresaba de una fiesta y fue sorprendido por antisociales que le efectuaron disparos ',yes
'  Carlos Alberto La Rosa     fue ultimado en La Pradera  La Vega  la madrugada del domingo ',no
'#Caracas  Cadáveres fueron ingresados este fin de semana a la morgue de Bello Monte ',no
'#Caracas  Cadáveres fueron ingresados este fin de semana a la morgue de Bello Monte ',no
' En el camino pistoleros rodearon en el carro y le cayeron a tiros  Tres de los ocupantes  incluyendo el chofer murieron abaleados ',no
' Vegas y Caro salieron de una fiesta con un primo del primero  Estaban con una amiga  cuando un amigo les dio la cola ',no
' Anderson Vegas  era charcutero en una carnicería en la redoma de Petare  no tenía hijos  Vivía con sus padres ',yes
'  Caro era Licenciado en Comercio Exterior egresado del Instituto Nuevas Profesiones ',no
'  Los fallecidos  José Enrique Caro     Simón Enrique Heredia    y  Anderson Rafael Vegas Suárez    ',no
' Tres jóvenes fueron asesinados la mañana de ayer  cuando regresaban de una fiesta en El Nazareno  Petare ',no
'  amén  Dios lo bendiga a ud ',yes
'  amén ',no
'Te entregamos Señor este día y te pedimos que pases tu mano sanadora por aquellos que hoy padecen una enfermedad del cuerpo o del alma ',no
'Dios tiene una bendición para cada día y nos conduce de su mano en la dificultad  Nunca dudes de su amor y de su poder ',no
'  espero y confío en que Dios permitirá que se recupere  Gracias ',no
'  gracias Román  Un abrazo ',yes
'  gracias doctor ',yes
'  gracias',yes
'  mi gracias  Qué Dios le bendiga ',yes
'  gracias',yes
'  hola  como puedo ubicarlo ',yes
'  gracias',yes
'    gracias',no
'    gracias',no
'Requiero con urgencia para mi tía los medicamentos Bumelex  mg tab  y CandesartamHct   mg tab   Quien sepa donde se consigue  gracias',no
' Se maneja que eran entre  a  sujetos que lo interceptaron  pero el funcionario se enfrentó con su arma de reglamento que le robaron ',no
'  El O A salió de su residencia para ir a sus labores en la Div  de Comunicaciones de   cuando fue sorprendido ',no
'  El Oficial Agregado de   Erick José Padilla Cabriles     fue asesinado a  am de hoy en el sector El Encanto  La Vega',no
'RT    Acaban d atracar a mis padres a punta de pistola  Plaza Venezuela          PNB http…',yes
'#ServicioPúblico Se requiere Inmunoglobulina Humana cc ml para una amiga recluida en la Clínica San Atrix',no
'RT    Funcionarios de la Div de Investigaciones aprehendieron a Santos Marcano tras su presunta participación en la muerte d…',yes
'  Marcano esta identificado como uno de los presuntos responsables de la muerte de Sixta Salazar    vicepresidenta de Xenon Films ',yes
' El detenido fue identificado como Santos Javier Marcano Méndez     Fue capturado en la calle ppal del barrio San Isidro ',no
'RT    Polisucre detuvo a uno de los implicados en el homicidio de la productora de Cine Sixta Coromoto Salazar     https  …',yes
'#UltimoMinuto   detuvo a uno de los implicados en asesinato de cineasta Sixta Salazar     ocurrido en la Urb Miranda ',no
'  amén',no
'Espero en ti Señor cada amanecer  Es muy difícil iniciar nuestro día sin tu bendición  Tu haces liviana mi carga y por eso vivo agradecido ',no
'Policía Municipal de Sucre perdió su cuenta   pms luego de ser objeto de un delito informático   Ahora síguela por  ',no
'RT    Esta mañana atendimos una alerta en La Dolorita  cuando sujetos armados irrumpieron en un establecimiento  …',yes
'  no porque se dieron a la fuga  tengo entendido ',no
'RT    Te invitamos a seguir nuestra cuenta oficial   y a estar atentos a nuestros procedimientos  recomendaci…',yes
'  Hubo un enfrentamiento y el funcionario resultó herido  El disparo era de fusil ',yes
'  Los uniformados vieron un vehículo Peugeot q iba en esa dirección pero retrocedió  Al dirigirse hacia el carro recibieron tiros ',no
'  Los uniformados vieron un vehículo Peugeot q iba en esa dirección pero retrocedió  Al dirigirse hacia el carro recibieron tiros ',no
'  Para el momento del hecho  estaba solo con un funcionario porque el resto se encontraba en el interior el Motor Home ',no
'  El funcionario estaba adscrito al Casco Central  destacado en un punto de control en la esquina de Solis con otros  compañeros ',yes
'  El Oficial Agregado Edward Javier Arismendi Pérez    murió al recibir un tiro de fusil la medianoche de ayer detrás de Miraflores ',yes
'  Hubo el enfrentamiento donde resultan heridos y fallecen    En el sitio quedó una escopeta y un revólver calibre  ',yes
'  Cuatro huyeron a pie y luego en la calle subieron a un carro  Otros dos tomaron una moto  pero se encontraron con la comisión policial ',yes
'  Presumen que su intención era secuestrar al propietario pero al no encontrarse pretendían cometer un robo  Un vecino llamo a la policía ',yes
'  Los antisociales maniataron y amordazaron a los trabajadores  Preguntaban por un ingeniero  dueño del negocio y por su camioneta ',no
'  Los sujetos conformaban una banda de  delincuentes que ingresaron a una carpintería en la zona industrial a tempranas horas de hoy ',yes
'  Dos presuntos delincuentes murieron esta mañana en enfrentamiento con Polisucre en Mariches  ',yes
'  apesta amén ',no
' Alexander Hernández     murió al enfrentrarse a la GNB en km  de la Petare Sta Lucia  Mariches  Estaba en un carro con otro que huyó ',no
' El robo ocurrió en el complejo urbanístico ciudad Miranda  A los fallecidos les incautaron  Fal   pistola y  granada  según la policía ',no
'  Los sujetos presuntamente había participado en robo de un Chery Arauca azul placas AHRM que pertenecía a un policía ',no
'  En enfrentamiento con Policharallave  murieron otros dos sujetos en el relleno sanitario La Bonanza  en los Valles del Tuy  a las  pm ',no
'  Sánchez quien presentó una solicitud por Captura de fecha      Fue sorprendido ayer cuando robaba a un transeúnte y se enfrentó ',no
'  También en un procedimiento de Polisucre en la redoma de Petare  cayó muerto a las pm de ayer  Edgar Moises Sánchez Arvelo    ',yes
'  En el sitio colectaron una pistola sin marca ni seriales que portaba y con la que disparó contra la comisión ',yes
'  Guerrero  quien era investigado por expedientes de homicidios ante el Eeje Este del Cicpc se enfrentó a la División de Investigaciones ',yes
'  Adelso Agustín Guerrero Mesia     apodado  Mortadela   fue abatido por Polisucre a las  am en la zona  de José Félix Ribas ',no
'  Adelso Agustín Guerrero Mesia     apodado  Mortadela   fue abatido por Polisucre a las  am en la zona  de José Félix Ribas ',yes
'  Cinco delincuentes murieron en distintos procedimientos policiales este lunes entre Caracas y Miranda ',yes
'  amén ',yes
'  amén ',yes
'  gracias ',no
'  lopez amén ',yes
'  amén  igualmente ',yes
'  Así es ',yes
'Que tengas un martes de bendición  No te angusties si hoy no te alcanza el tiempo pero tampoco lo desperdicies y q nadie te robe la sonrisa ',no
'Bendigo la vida que Dios me dio como es ahora  con todas sus dificultades  Espero gozar de la que será eterna  mientras veo a otros partir ',yes
'Nunca estarás mejor que viviendo tu propia vida  Dios no se equivoco de hora ni lugar  Sé tú  sin temor a equivocarte y comenzar de nuevo ',no
'  Dijeron que la madre maltrataba al niño física y psicológicamente   Hace dos meses salió pero no regresó dejándola el cuarto con llave ',no
'  La propietaria decidido abrir ayer y cuando realizaron el terrible hallazgo  Encontraron la osamenta del niño ',no
'  Inquilinos de otras habitaciones que ya no soportaban el olor putrefacto que salía de ese cuarto cerrado con llave hablaron con la dueña ',yes
'  Sospechan de la madre del niño  ya que tenía una habitación alquilada allí y hace  meses se marchó sin explicación  dejando con seguro ',no
'  La osamenta de un niño de  años fue hallado ayer dentro de una residencia en la calle Bolívar  sector Los Robles  Manicomio La Pastora ',yes
'  comunicate conmigo urgente porfa  Te llamo y no me cae al número que tengo ',no
'    pms Tres ',yes
'Los delincuentes ingresaron a dos apartamentos de las residencias Miramundo  Los maniataron y amordazaron para robar ',yes
'Tres abatidos en enfrentamiento con   pms en la Urb Miranda  Sometieron a  miembros de dos familias en sus apartamentos ',no
'Tres abatidos en enfrentamiento con   pms en la Urb Miranda  Sometieron a  miembros de dos familias en sus apartamentos ',no
'  Yo cubro noticias todos los días  pero hay unos en particular en que no tengo tiempo de nada por tantas ocupaciones ',yes
'Una vez se supera el punto de control a la altura del antiguo peaje  subiendo Ccs La Guaira  totalmente libre la vía  #S',yes
'Reducen a un solo canal Ccs La Guaira subiendo en antiguo peaje  PNB y GNB paran a casi todos los carros   am #S ',no
'La esperanza nos mantendrá unidos y firmes  Dios bendiga este día y proteja los sueños de los soñadores  Él también cree en ti ',no
'  gracias  Amén  Linda tarde ',no
' Yosleiner Medina se encontraba  solicitado por el Juzgado Trigésimo Sexto    en funciones de Control del Área Metropolitana de Caracas ',no
'  Se maneja q madre e hijo tuvieron una discusión tras la cual el joven tomó un cuchillo y la degolló  Fue llevada a la clínica pero murió ',yes
'  El hecho ocurrió en el edifico María Luisa  ubicada en la primera calle Ruperto Lugo aproximadamente a las  am de hoy ',no
' El presunto homicida  hijo de la mujer  fue detenido en Clínica Nueva Caracas  Catia  Se trata de Yosleiner Alexander Medina Suárez    ',no
'   Irvin Amara Medina Suárez  de  años de edad  fue degollada por su hijo durante una pelea que sostuvieron dentro de su residencia ',yes
'  coelho hola  claro  pero yo solo cubro sucesos     altagraciaanzola  com',yes
'  El Oficial recibió un tiro en la cabeza Fue llevado al Centro Médico Tuy y de allí a un hospital en Caracas donde falleció a la  am ',yes
'  El funcionario se encontraba de servicio haciendo recorrido por inmediaciones de la Plaza El Rincón cuando se produjo un enfrentamiento ',yes
' El Oficial de Policía Municipal de Independencia  Ricardo David Rangel Vásquez     fue asesinado a las  pm de ayer en Valles del Tuy',no
'Este fin de semana fueron ingresados  cadáveres a la morgue de Bello Monte  La cifra de ingresos en agosto es de  hasta hoy ',yes
'Una calidad de compositor e intérprete que a mi parecer no tuvo competencia  Por siempre mi ídolo  Se fue a cantar al cielo  Dios le de paz ',yes
'Juan Gabriel será por siempre de esos artistas que nunca mueren  Difícil no sentir tristeza ante la partida de semejante talento QEPD',yes
'  igual ',no
'  Fueron muchos elementos a considerar allí  pero evito hacer juicios mayores ya que la sociedad en general esta sensible ',yes
'  Fueron muchos elementos a considerar allí  pero evito hacer juicios mayores ya que la sociedad en general esta sensible ',no
' Según trascendió tenía rato allí parado  cuando le llegaron los asaltantes ',no
' El diplomático estaba en la avenida Sanz  adyacente al barrio Primero de Mayo  dentro de la camioneta esperando a esa persona ',no
'  trato  Gracias',yes
'  ah ya  Ellos dijeron que robaron pertenencias al bombero ',yes
'  a qué caso se refiere ',yes
' El diplomático se resistió  recibiendo un disparo en el hombre izquierdo que se le alojó en el pecho Pudo escapar y llegó a una clínica ',no
'  Estaba a bordo de su vehículo Jeep Cherokee Limited  azul  cuando fue sorprendido por varios delincuentes armados que intentaron robarlo',yes
'  Olivo indicó ser el segundo a cargo de la Agregaduria Militar de ese país en Venezuela  Estaba en la zona buscando a una amiga ',yes
' El Teniente de las Fuerzas Armadas de España  José Miguel Oliva  José Miguel Oliva     fue herido de bala esta mañana en Petare ',yes
'  lo siento ',no
'  amén ',no
'  La víctima no fue despojada del vehículo ',yes
'  El bombero quedó muerto en el asiento del conductor  Al lugar llegó su familia que vive en Los Frailes de Catia  Le robaron pertenencias ',yes
'  El pasajero que era el último que trasladaba esa noche  se ocultó debajo el tablero  resultó ileso  Fue quien pidió ayuda ',no
'  Dávila intentó retroceder  chocó contra un poste y en eso los sujetos hicieron  disparos contra el carro  Dos lo hirieron en la cabeza ',no
'  Conducía su Ford Fiesta Power azul  cuando otro carro le trancó el paso Bajaron  delincuentes que le tocaron el vidrio  Estaban armados ',no
' Trabajaba en el Inpsasel y por las noches trasladaba personal del Domino s Pizza de Los Palos Grandes  Fue al sector a llevar un pasajero ',yes
'  Dávila era licenciado en Administración de Desastres egresado de la Unefa y Máster en Seguridad Laboral  Soltero y sin hijos ',no
'  Jansen Dávila    bombero voluntario de la UCV fue asesinado la medianoche del martes en el  de Enero  ',no
'  Jansen Dávila    bombero voluntario de la UCV fue asesinado la medianoche del martes en el  de Enero  ',yes
'    quisiera saber yo  Fueron sumamente violentos  Incomprensible ',no
'  es la cosa ',no
'  Presuntamente fueron atacados por dos sujetos  uno de estos conocido por la familia ya que era quien les reparaba los electrodomésticos ',no
' El doble crimen ocurrió en horas de la tarde  Ambos fueron acuchillados  ella quedó en el balcón y él en la sala ',no
' Míriam Esperanza Medina Rodríguez    y su hermano José Rafael Medina      fueron asesinados ayer en su apartamento en Casalta III ',no
'  Autoridades informan que Montenegro presenta heridas por arma de fuego ',no
'  Cuando uno ve el espectáculo de esta gente  entiende por qué estamos como estamos  ',yes
'  Los Señores que de forma violenta nos están sacando de la parte externa del edificio  ',yes
'  Vergonzosa la actitud de los vecinos  unos pocos  de este edificio Los Tulipanes  ',no
'  Presidente de la Junta de Condominio  pretende sacar a empujones a los reporteros de sucesos del edif  ',no
'  Vecina Elizabeth Malave  dijo que anoche escucharon disparos a eso de las  pm   Era un sastre muy reconocido  ',yes
'  Llega a esta furgoneta para retirar el cadáver del señor Montenegro  ',no
'  Se desconoce por ahora que tipo de heridas presenta la víctima  Presumen que se trató de un robo  A la espera ',no
'  A esta hora  am  comisiones de Polichacao resguardan el área a la espera de la División contra Homicidios del Cicpc ',yes
'  Montenegro tenía una empresa textil para la confección de prendas de vestir  Vivía solo porque su esposa e hija residen en USA ',yes
'  La doméstica comentó que vio el cuerpo tirado y ensangrentado dentro del inmueble por lo que llamó a una prima de la víctima ',yes
'  La doméstica Luisa Ramos  contó que encontró el  Apto en completo desorden cuando llegó y abrió esta mañana  ',yes
'  Localizan cadáver de empresario Diego Montenegro     dentro de su apto en el pent house del edif Los Tulipanes   Los Palos Grandes ',no
'Que Dios bendiga este amanecer y lo que tengamos que vivir en este día  Protegenos Señor del mal y del peligro  de las malas intenciones ',yes
'Que Dios bendiga este amanecer y lo que tengamos que vivir en este día  Protegenos Señor del mal y del peligro  de las malas intenciones ',no
'  La mujer trabajaba con esa empresa de cine que ha producido reconocidas películas venezolanas  Además era vestuarista ',no
'  Sixta Salazar mejor conocida en el medio artístico como Jackeline Salazar  era esposa del dueño de la productora Xenón Films',no
'  El vehículo de la víctima que quedó en el sitio  ',yes
'  Para poder sacarla herida tuvieron que fracturar un vidrio  Fue llevada hasta la clínica Sanitas en Baruta  donde murió a  pm',yes
'  Cuando llegó Polisucre  la mujer estaba herida aun con vida dentro del carro  pero los seguros estaban abajo ',no
'  La mujer estaba dentro de su vehículo cuando  delincuentes intentaron robarla  se opuso y le dispararon  ',no
' Sixta Coromoto Salazar     fue asesinada esta tarde  pm   en la calle Ávila de la Urb  Miranda  ',no
'  Los antisociales le dispararon sin mediar palabras y le robaron sus pertenencias  entre estas un arma de fuego  según reporte policial ',yes
'  El escolta salió de su residencia en la vereda  sector  con su esposa y cuando se subían a su moto fue sometido por  delincuentes ',no
' Edgardo Neptaly Sanon Escudero     el escolta y ex funcionario de la extinta PM  fue asesinado a las am de hoy  en Las Casitas La Vega ',yes
'  escríbeme a altagraciaanzola  com',no
'  Desde hace  años trabajaba en el Instituto de Artes de la Imagen y el Espacio  donde además era vocero de la  Lopcymat ',yes
'  Buenabel fue llevado al hospital José María Vargas donde murió  El joven era miembro de los Clap en la comunidad ',no
' La comunidad reaccionó enardecida y logró capturar a uno de los sujetos que fue linchado en plena calle  según versión de la familia ',yes
'  Al verlos  Buenabel lo abordó para echarlos pero uno de los sujetos que estaba armado le dio un disparo en el pecho ',no
'  Según vecinos los antisociales siempre utilizan ese paso para huir después de cometer sus robos en la avenida ',yes
'  Dos delincuentes que robaron en la avenida Panteón  corrieron por un callejón que los condujo al lugar donde se realizaba en evento ',no
'  Buenabel era deportista y organizaba este domingo un encuentro de baloncesto en la comunidad en el que estaba cuando lo mataron ',no
'  Jeyfre Alexander Buenabel     trabajador del Mincultura fue asesinado pm del domingo  en el sector Terraplén  en la avenida Panteón ',yes
'  Jeyfre Alexander Buenabel     trabajador del Mincultura fue asesinado pm del domingo  en el sector Terraplén  en la avenida Panteón ',yes
'  amén ',yes
'Bendice Jesús este día q hiciste para darnos una oportunidad de servirte  Que realmente sirvamos para algo y lleguemos a quien lo necesita ',yes
'Nadie como mejor tú Señor comprende mi cansancio y mis dificultades  Te los ofrezco por aquellos que no se pueden levantar ',yes
'Solo la esperanza que me das y la fe en tu palabra Señor me hacen levantar cada mañana  Tú eres mi mi confianza en que las cosas cambiarán ',no
'  Tres de los muertos cayeron en presunto intercambio de disparos con la PNB y tres con el Cicpc ',yes
'  Las comisiones de la PNB y Cicpc se desplegaron por las calles   y  donde se registraron los enfrentamientos ',yes
'  Seis fallecidos dejo una OLP ordenada por el Ministro de Interior y Justicia  Nestor Reverol  en Los Jardines de El Valle este domingo ',no
'  Aún no se ha determinado a que organismo policial pertenecía la comisión  Los dos heridos quedarían detenidos por averiguación ',yes
'  Otra versión indica que quienes les dispararon eran funcionarios policiales que los siguieron desde Altamira donde cometían un robo ',yes
'  Bermudez sufrió politraumatismo cuando presuntamente al ver que su esposa y amigo estaban heridos  colisionó intencionalmente ',no
'  Miguel Contreras  vecino de los dos funcionarios que eran parejas fue quien resultó herido de bala ',no
'  En el mismo vehículo venían el Oficial Jefe Carlos Alberto Bermudez Luna y Miguel Contreras  El primero recibió disparo en pulmón derecho',yes
'  Primera versión indica que les dispararon desde un carro en marcha que se percataron los venia siguiendo desde Plaza Venezuela ',yes
'  La funcionaria iba en un Fiat Uno  placas FAV Y  por la autopista sentido este oeste  con otros dos compañeros cuando les dispararon ',no
'  La Oficial Agregado de Polichacao  María Luisa Perez  fue asesinada esta madrugada en la autopista  #FF ',no
'* Eran todos adultos  haciendo la corrección de que no había ningún adolescente entre las víctimas ',no
'Los fallecidos  Ismael Ávila     Yeison Gómez     Joel Carrillo     Yemmy Bosque Carrillo     Johan Antonio Bosque Carrillo    ',yes
'  Todos presentaron disparos en la cabeza  Luego de matarlos quemaron los cuerpos ',yes
' Las víctimas estuvieron desaparecidas hasta ayer cuando los encontraron muertos en el sector La Mayita  zona montañosa ',yes
' Las víctimas estuvieron desaparecidas hasta ayer cuando los encontraron muertos en el sector La Mayita  zona montañosa ',yes
'  Se llevaron a cinco personas cuatro adultos y un adolescente de  años  Se identificaron como miembros de un cuerpo de seguridad ',yes
' En casa casa sometieron a las familias que fueron amordazadas y maniatadas  Los robaron y a todos les quitaron los celulares ',yes
' Contaron q la medianoche del domingo  un grupo armado llegó a la zona de Costa de Maya y se metieron a tres casas de donde se los llevaron',yes
' Los cadáveres no fueron ingresados a la morgue en Aragua  pero tampoco a Bello Monte  por lo que acudirán a la de Vargas ',no
' Familiares de víctimas de quíntuple homicidio ocurrido en Puerto Maya  Vargas  acudieron a morgue de Bello Monte en busca de los cuerpos',yes
'  Los azotes amenazaron a los vecinos y se metieron a dos casas  donde robaron enseres y hasta comida ',no
